# StoryAura/Danbooru-Dataset-csv parent_tag edges (child,parent). MIT.
!!,!
alligator,crocodilian
alpaca_ears,animal_ears
alpaca_tail,tail
alphes_(style),style_parody
alraune,plant_girl
alternate_breast_size_(larger),breasts
alternate_clothes_writing,clothes_writing
alternate_shiny_pokemon,alternate_color
alternate_weapon,weapon
alternate_wings,wings
altyn_helmet,combat_helmet
amaryllis_(flower),flower
amber_(gemstone),gem
amekaji_gyaru,gyaru
american_flag_bikini,american_flag_print
american_flag_bikini,flag_print_bikini
american_flag_gloves,american_flag_print
american_flag_gloves,print_gloves
american_flag_hat,american_flag_print
american_flag_jacket,american_flag_print
american_flag_jacket,print_jacket
american_flag_kimono,american_flag_print
american_flag_kimono,print_kimono
american_flag_pants,american_flag_print
american_flag_pants,print_pants
american_flag_print,american_flag
american_flag_print,flag_print
american_flag_print_panties,american_flag_print
american_flag_print_panties,print_panties
american_flag_shirt,american_flag_print
american_flag_shirt,print_shirt
american_flag_skirt,american_flag_print
american_flag_skirt,print_skirt
american_flag_tattoo,american_flag
american_flag_tattoo,tattoo
american_football_(object),ball
american_football_helmet,helmet
american_football_uniform,sportswear
amesuku_gyaru,kogal
ammunition_pouch,pouch
amphibious_helicopter,helicopter
amrita_(e.g.o),e.g.o_(project_moon)
an-94,assault_rifle
anal_beads,sex_toy
anal_fingering,fingering
anal_fisting,anal
anal_fisting,fisting
anal_object_insertion,anal
anal_object_insertion,object_insertion
anal_prolapse,prolapse
anal_tail,fake_tail
analog_clock,clock
anchor_earrings,earrings
anchor_hair_ornament,hair_ornament
anchor_hat_ornament,hat_ornament
anchor_necklace,necklace
anchor_tattoo,tattoo
ancient_greek_clothes,greco-roman_clothes
anemone_(flower),flower
aneros,prostate_massager
angel_french,french_cruller
angel_leotard,leotard
angel_wings,wings
angelfish,fish
angled_foregrip,foregrip
anglerfish,fish
angora_rabbit,rabbit
animal-themed_umbrella,umbrella
animal_charm,charm_(object)
animal_collar,collar
animal_dildo,dildo
animal_ear_hairband,fake_animal_ears
animal_ear_hairband,hairband
animal_ear_headband,fake_animal_ears
animal_ear_headband,headband
animal_ear_headphones,fake_animal_ears
animal_ear_headphones,headphones
animal_ear_helmet,animal_helmet
animal_ear_hood,hood
animal_hat,hat
animal_hood,hood
animal_in_clothes,animal
animal_insertion,animal
animal_on_head,on_head
animal_on_lap,on_lap
animal_penis,penis
animal_pussy,pussy
animal_sexualization,zoophilia
animal_slippers,slippers
animals_kissing,animal
animals_kissing,kiss
anime_screenshot_inset,screenshot_inset
animegao,kigurumi
ankh_earrings,earrings
ankh_necklace,ankh
ankh_necklace,necklace
ankh_tattoo,ankh
ankh_tattoo,tattoo
ankle_boots,boots
ankle_bow,bow
ankle_flower,flower
ankle_ribbon,leg_ribbon
ankle_scrunchie,scrunchie
ankle_socks,socks
ankle_tattoo,tattoo
ankle_wings,wings
anklet,jewelry
anna_miller,waitress
anpan,food
ant,bug
ant_girl,arthropod_girl
anthurium,flower
anti-eyebrow_piercing,face_piercing
anti-materiel_rifle,sniper_rifle
anti-tank_grenade,grenade
anti-tank_mine,mine_(weapon)
antique_firearm,gun
antisemitism,discrimination
antler_grab,antlers
antlers,horns
anus_peek,anus
anzio_(emblem),emblem
aoqun,hanfu
apoptygma,ancient_greek_clothes
apple,fruit
apple_core,apple
apple_earrings,food-themed_earrings
apple_hair_ornament,food-themed_hair_ornament
apple_juice,juice
apple_on_head,apple
apple_on_head,fruit_on_head
apple_pie,pie
apple_print,fruit_print
apple_rabbit,food_art
apple_slice,apple
apple_tree,tree
apple_watch,smartwatch
applying_another's_makeup,applying_makeup
applying_lipstick,applying_makeup
applying_own_makeup,applying_makeup
apron_grab,clothes_grab
apron_lift,apron
apron_lift,clothes_lift
apron_pull,apron
apron_pull,clothes_pull
apron_tug,apron
aqua-tinted_eyewear,tinted_eyewear
aqua_apron,apron
aqua_arm_warmers,arm_warmers
aqua_armband,armband
aqua_armor,armor
aqua_ascot,ascot
aqua_babydoll,babydoll
aqua_bag,bag
aqua_bandana,bandana
aqua_belt,belt
aqua_bikini,bikini
aqua_bird,bird
aqua_blood,colored_blood
aqua_bloomers,bloomers
aqua_bodysuit,bodysuit
aqua_bonnet,bonnet
aqua_boots,boots
aqua_border,border
aqua_bow,bow
aqua_bowtie,aqua_bow
aqua_bowtie,bowtie
aqua_bra,bra
aqua_buruma,buruma
aqua_butterfly,butterfly
aqua_camisole,camisole
aqua_cape,cape
aqua_capelet,capelet
aqua_car,car
aqua_cardigan,cardigan
aqua_choker,choker
aqua_cloak,cloak
aqua_coat,coat
aqua_collar,collar
aqua_corset,corset
aqua_dress,dress
aqua_eyeliner,eyeliner
aqua_eyeshadow,eyeshadow
aqua_flower,flower
aqua_gem,gem
aqua_gloves,gloves
aqua_hairband,hairband
aqua_hakama,hakama
aqua_halo,halo
aqua_hanfu,hanfu
aqua_haori,haori
aqua_hat,hat
aqua_headband,headband
aqua_headscarf,headscarf
aqua_helmet,helmet
aqua_hijab,hijab
aqua_hoodie,hoodie
aqua_horns,horns
aqua_jacket,jacket
aqua_jumpsuit,jumpsuit
aqua_kimono,kimono
aqua_leg_warmers,leg_warmers
aqua_leggings,leggings
aqua_leotard,leotard
aqua_male_swimwear,male_swimwear
aqua_male_underwear,male_underwear
aqua_mittens,mittens
aqua_neckerchief,neckerchief
aqua_necktie,necktie
aqua_nightgown,nightgown
aqua_nipples,colored_nipples
aqua_one-piece_swimsuit,one-piece_swimsuit
aqua_outline,outline
aqua_overalls,overalls
aqua_pajamas,pajamas
aqua_panties,panties
aqua_pants,pants
aqua_pantyhose,pantyhose
aqua_petals,petals
aqua_pubic_hair,colored_pubic_hair
aqua_pussy,colored_pussy
aqua_ribbon,ribbon
aqua_robe,robe
aqua_rose,aqua_flower
aqua_rose,rose
aqua_sailor_collar,sailor_collar
aqua_sandals,sandals
aqua_sarong,sarong
aqua_sash,sash
aqua_scarf,scarf
aqua_sclera,colored_sclera
aqua_scrunchie,scrunchie
aqua_shawl,shawl
aqua_shirt,shirt
aqua_shoes,shoes
aqua_shorts,shorts
aqua_shrug,shrug_(clothing)
aqua_skin,colored_skin
aqua_skirt,skirt
aqua_slingshot_swimsuit,slingshot_swimsuit
aqua_slippers,slippers
aqua_socks,socks
aqua_sports_bra,sports_bra
aqua_streaks,streaked_hair
aqua_suit,suit
aqua_sweater,sweater
aqua_sweater_vest,sweater_vest
aqua_tabard,tabard
aqua_tank_top,tank_top
aqua_teeth,colored_teeth
aqua_thighhighs,thighhighs
aqua_track_suit,track_suit
aqua_tunic,tunic
aqua_umbrella,umbrella
aqua_veil,veil
aqua_vest,vest
aqua_visor_cap,visor_cap
aqua_wings,wings
aqua_wrist_cuffs,wrist_cuffs
aquarius_(zodiac),zodiac
aquiline_nose,nose
ar-10,battle_rifle
ar-15,rifle
arachne,monster_girl
arachne,spider_girl
arachne,taur
aran_sweater,cable_knit
aran_sweater,sweater
arcade_(architecture),arch
arcade_stick,game_controller
arcade_stick,joystick
arch_bridge,bridge
arched_crown,crown
arched_window,window
archery_shooting_glove,partially_fingerless_gloves
ardor_blossom_star_(e.g.o),e.g.o_(project_moon)
areola_piercing,piercing
argentinian_flag_bikini,flag_print_bikini
argentinian_flag_print,argentinian_flag
argentinian_flag_print,flag_print
argentinian_national_soccer_team_uniform,soccer_uniform
argyle_apron,argyle_clothes
argyle_bikini,argyle_clothes
argyle_bowtie,argyle_bow
argyle_bowtie,argyle_clothes
argyle_bra,argyle_clothes
argyle_cape,argyle_clothes
argyle_capelet,argyle_clothes
argyle_cardigan,argyle_clothes
argyle_coat,argyle_clothes
argyle_coat,coat
argyle_dress,argyle_clothes
argyle_dress,dress
argyle_footwear,argyle_clothes
argyle_gloves,argyle_clothes
argyle_hairband,argyle_clothes
argyle_hat,argyle_clothes
argyle_jacket,argyle_clothes
argyle_kimono,argyle_clothes
argyle_necktie,argyle_clothes
argyle_necktie,necktie
argyle_panties,argyle_clothes
argyle_pants,argyle_clothes
argyle_pants,pants
argyle_pantyhose,argyle_clothes
argyle_scarf,argyle_clothes
argyle_scarf,scarf
argyle_shirt,argyle_clothes
argyle_shorts,argyle_clothes
argyle_skirt,argyle_clothes
argyle_sleeves,argyle_clothes
argyle_socks,argyle_clothes
argyle_socks,socks
argyle_sweater,argyle_clothes
argyle_sweater,sweater
argyle_sweater_vest,argyle_clothes
argyle_sweater_vest,sweater_vest
argyle_thighhighs,argyle_clothes
argyle_vest,argyle_clothes
aries_(zodiac),zodiac
arisaka,bolt_action
arisaka,rifle
arl-44,tank
arm_between_breasts,between_breasts
arm_blade,weapon
arm_cannon,weapon
arm_cast,cast
arm_cutout,clothing_cutout
arm_freckles,body_freckles
arm_ribbon,ribbon
arm_tattoo,tattoo
armband_grab,armband
armband_grab,clothes_grab
armchair,chair
armless_amputee,amputee
armlet,jewelry
armored_boots,boots
armored_dress,armor
armored_dress,dress
armored_leotard,leotard
armored_personnel_carrier,armored_vehicle
armored_personnel_carrier,motor_vehicle
armored_twintails,armor
armored_twintails,twintails
armpit_cutout,clothing_cutout
armpit_focus,armpits
armpit_hair_peek,armpit_hair
armpit_pussy,misplaced_genitals
aroused_nosebleed,nosebleed
arowana,fish
arquebus,antique_firearm
arrow_cross,cross
arrow_in_arm,arrow_in_body
arrow_in_body,arrow_(projectile)
arrow_in_head,arrow_in_body
arrow_in_head,object_through_head
arrow_in_mouth,arrow_(projectile)
arrow_in_mouth,mouth_hold
arrow_symbol_hair_ornament,arrow_hair_ornament
arrow_tattoo,arrow_(symbol)
arrow_tattoo,tattoo
arrow_through_apple,apple
arrow_through_apple,arrow_(projectile)
art_brush,paintbrush
art_tool_censor,art_tools_in_frame
art_tool_censor,censored
artillery_shell,ammunition
artist_logo,logo
as_val,assault_rifle
ascot_between_breasts,ascot
ascot_between_breasts,clothes_between_breasts
ascot_grab,neckwear_grab
ash_baby_(meme),ai-generated_art_(topic)
aspear_berry,berry_(pokemon)
ass_cutout,clothing_cutout
ass_focus,ass
ass_freckles,body_freckles
ass_on_glass,against_glass
ass_on_glass,ass_press
ass_pinch,pinching
ass_tattoo,tattoo
assault_rifle,rifle
assisted_carrying,carrying
assisted_paizuri,paizuri
assless_swimsuit,swimsuit
asymmetrical_armor,armor
asymmetrical_coat,asymmetrical_clothes
asymmetrical_coat,coat
asymmetrical_docking,breast_press
asymmetrical_dress,dress
asymmetrical_dual_wielding,dual_wielding
asymmetrical_gloves,gloves
asymmetrical_horns,horns
asymmetrical_sidelocks,sidelocks
asymmetrical_wings,wings
at4,rocket_launcher
atari_2600,game_console
atari_jaguar,game_console
atari_lynx,handheld_game_console
athletic_leotard,leotard
atomic_wedgie,wedgie
attack_helicopter,helicopter
attack_helicopter,military_vehicle
australian_flag_bikini,australian_flag_print
australian_flag_bikini,flag_print_bikini
australian_flag_print,australian_flag
australian_flag_print,flag_print
austrian_national_soccer_team_uniform,soccer_uniform
autocannon,cannon
autocunnilingus,cunnilingus
autocunnilingus,masturbation
autocycle,three-wheeler
autofacial,cum_on_self
autofacial,facial
autofellatio,fellatio
autofellatio,masturbation
autogyro,aircraft
autopaizuri,masturbation
autopaizuri,paizuri
autumn_leaves,leaf
aviator_sunglasses,sunglasses
ax_bass,bass_guitar
axent_wear,cat_ear_headphones
azalea_(flower),flower
b&t_mp9,submachine_gun
baby_bottle,bottle
baby_carry,carrying
baby_hippopotamus,hippopotamus
babydoll_lift,clothes_lift
babydoll_pull,clothes_pull
bachi,plectrum
back-print_panties,print_panties
back-seamed_legwear,seamed_legwear
back_bow,bow
back_cover,cover
back_cutout,clothing_cutout
back_focus,back
back_freckles,body_freckles
back_pain,pain
back_tattoo,tattoo
back_view_in_reflection,reflection
backboob,breasts
backless_bodysuit,bodysuit
backless_dress,backless_outfit
backless_dress,dress
backless_leotard,leotard
backless_panties,panties
backless_pants,pants
backpack,bag
backpacking_stove,portable_stove
backward-facing_horns,horns
backwards_hat,hat
backwards_virgin_killer_sweater,virgin_killer_sweater
bacon,food
bactrian_camel,camel
bad_ass,bad_anatomy
bad_face,bad_anatomy
bad_hands,bad_anatomy
bad_leg,bad_anatomy
bad_neck,bad_anatomy
bad_reflection,artistic_error
bad_reflection,reflection
bad_vulva,bad_anatomy
badge_(pokemon),badge
badminton_racket,racket
bag_charm,charm_(object)
bagged_fish,bag
bagged_fish,fish
baggy_pants,pants
bagpipes,instrument
bagua,trigram
baguette,bread
bakery,shop
balalaika_(instrument),instrument
balance_scale,weighing_scale
bald_eagle,eagle
bald_female,bald
balisong,knife
balkenkreuz,cross
ball_and_chain_(weapon),weapon
ball_busting,cbt
ball_gag,gag
ball_insertion,ball
ball_insertion,unusual_insertion
ballistic_shield,shield
balljob,testicles
bamboo_broom,broom
bamboo_fence,fence
bamboo_forest,bamboo
bamboo_forest,forest
banana,fruit
banana_earrings,food-themed_earrings
banana_hair_ornament,food-themed_hair_ornament
banana_print,fruit_print
banana_slice,banana
banchou,delinquent
band_shirt,merchandise
bandage_on_face,bandages
bandaged_arm,bandages
bandaged_fingers,bandages
bandaged_foot,bandages
bandaged_hand,bandages
bandaged_head,bandages
bandaged_leg,bandages
bandaged_neck,bandages
bandaged_wrist,bandages
bandages_over_eyes,bandages
bandaid_hair_ornament,bandaid
bandaid_hair_ornament,hair_ornament
bandaid_on_anus,bandaid
bandaid_on_arm,bandaid
bandaid_on_ass,bandaid
bandaid_on_breast,bandaid
bandaid_on_cheek,bandaid_on_face
bandaid_on_clothes,bandaid
bandaid_on_face,bandaid
bandaid_on_finger,bandaid_on_hand
bandaid_on_foot,bandaid
bandaid_on_forehead,bandaid_on_face
bandaid_on_hand,bandaid
bandaid_on_head,bandaid
bandaid_on_knee,bandaid_on_leg
bandaid_on_leg,bandaid
bandaid_on_neck,bandaid
bandaid_on_nose,bandaid_on_face
bandaid_on_pussy,bandaid
bandaid_on_shoulder,bandaid
bandaid_on_thigh,bandaid_on_leg
bandaids_on_nipples,bandaid
bandaids_on_nipples,pasties
bandana_around_neck,bandana
bandana_over_mouth,bandana
bandeau_lift,bandeau
bandeau_lift,clothes_lift
bandeau_pull,bandeau
bandeau_pull,clothes_pull
bandolier,belt
bang_(gesture),finger_gun
bangle,bracelet
banjo,instrument
banknote,money
baozi_hair_ornament,food-themed_hair_ornament
bar_censor,censored
bar_chart,graph
bar_stool,stool
barbell_piercing,piercing
barcode_tattoo,barcode
barcode_tattoo,tattoo
bardiche_(weapon),polearm
bare_pectorals,pectorals
bare_tree,tree
barn_owl,owl
barrett_m82,anti-materiel_rifle
baseball_(object),ball
baseball_cap,hat
baseball_helmet,helmet
baseball_jersey,jersey
baseball_uniform,sportswear
basketball_(object),ball
basketball_uniform,sportswear
bass_drum,drum
bass_flute,instrument
bass_guitar,instrument
bassoon,instrument
bat_earrings,earrings
bat_ears,animal_ears
bat_hair_ornament,hair_ornament
bat_print,animal_print
bat_tattoo,tattoo
bat_wings,wings
bath_of_blood,bath
bath_of_blood,blood
bath_stool,stool
bath_yukata,yukata
bathroom_scale,weighing_scale
baton_(weapon),weapon
battle_axe,axe
battle_axe,weapon
battle_rifle,rifle
battlecruiser,warship
battleship,warship
battoujutsu_stance,ready_to_draw
bayonet,weapon
bc_freedom_(emblem),emblem
beach_towel,towel
beach_umbrella,umbrella
beach_volleyball,volleyball_(sport)
beachball,ball
bead_anklet,anklet
bead_anklet,beads
bead_armlet,armlet
bead_bracelet,beads
bead_bracelet,bracelet
bead_choker,beads
bead_necklace,beads
bead_necklace,necklace
beaded_penis,spiked_penis
beak_(e.g.o),e.g.o_(project_moon)
beak_hold,mouth_hold
beam_rifle,energy_gun
beamed_eighth_notes,musical_note
beamed_sixteenth_notes,musical_note
beamed_thirty-second_notes,musical_note
beanie,hat
bear_bag,animal_bag
bear_charm,animal_charm
bear_costume,animal_costume
bear_cub,baby_animal
bear_cub,bear
bear_ear_hairband,animal_ear_hairband
bear_ear_hairband,bear_ears
bear_ear_headphones,animal_ear_headphones
bear_ear_headphones,bear_ears
bear_ears,animal_ears
bear_hair_ornament,hair_ornament
bear_hood,animal_hood
bear_mask,mask
bear_pajamas,pajamas
bear_pelt,pelt
bear_position,all_fours
bear_print,animal_print
bear_print_panties,bear_print
bear_print_panties,print_panties
bear_slippers,animal_slippers
bear_tail,tail
beard,facial_hair
beard_stubble,stubble
beast_ball,poke_ball
beaver_ears,animal_ears
beaver_tail,tail
bee,bug
bee_boy,arthropod_boy
bee_girl,arthropod_girl
bee_wings,insect_wings
beer,alcohol
beer_bottle,bottle
beer_can,drink_can
beer_mug,mug
beetle,bug
beetle_boy,arthropod_boy
beetle_girl,arthropod_girl
behind-the-head_headphones,headphones
behind_curtains,curtains
being_called_an_idiot_by_your_wife,multiple_drawing_challenge
bell-bottoms,pants
bell_earrings,bell
bell_earrings,earrings
bell_pepper_slice,bell_pepper
bellflower,flower
bellows_camera,camera
belly_chain,jewelry
belt_boots,boots
belt_buckle,buckle
belt_charm,charm_(object)
belt_collar,collar
belt_grab,clothes_grab
belt_pouch,pouch
belt_skirt,belt
belue_berry,berry_(pokemon)
ben-day_dots,screentones
bendy_straw,drinking_straw
benelli_m4,shotgun
bent_spoon,spoon
bent_v,v
beret,hat
beretta_92,handgun
beretta_93r,handgun
beretta_ar70/90,assault_rifle
beretta_m12,submachine_gun
beretta_model_38,submachine_gun
beretta_px4,handgun
berserker_armor,armor
bespectacled,glasses
bestiality,zoophilia
between_breasts,breasts
between_fingers,holding
between_pectorals,pectorals
bicorne,hat
bicycle_helmet,helmet
bicycle_pump,air_pump
bident,polearm
big_bang_kamehameha,kamehameha_(dragon_ball)
bike_shorts_pull,bike_shorts
bike_shorts_under_shorts,bike_shorts
bike_shorts_under_shorts,shorts
bike_shorts_under_skirt,bike_shorts
bikesuit,biker_clothes
bikesuit,bodysuit
bikini,swimsuit
bikini_armor,armor
bikini_bottom_aside,bikini
bikini_bottom_aside,clothing_aside
bikini_bottom_lift,bikini
bikini_bottom_only,bikini
bikini_bottom_pull,bikini
bikini_bottom_pull,clothes_pull
bikini_bottom_under_shorts,bikini_under_clothes
bikini_bottom_under_shorts,shorts
bikini_briefs,male_underwear
bikini_in_mouth,clothes_in_mouth
bikini_jeans,jeans
bikini_jeans,lowleg_pants
bikini_shorts,bikini
bikini_shorts,shorts
bikini_skirt,bikini
bikini_tan,tanlines
bikini_top_aside,bikini
bikini_top_lift,bikini
bikini_top_lift,clothes_lift
bikini_top_only,bikini
bikini_top_pull,bikini
bikini_top_pull,clothes_pull
bikini_top_under_shirt,bikini_under_clothes
bikini_under_clothes,bikini
bilingual_text,mixed-language_text
billiard_ball,ball
billiard_table,table
binaural_microphone,microphone
binds_(e.g.o),e.g.o_(project_moon)
bioluminescence,glowing
biplane,airplane
birch_tree,tree
bird's_eye_view,from_above
bird_ears,animal_ears
bird_hair_ornament,hair_ornament
bird_mask,mask
bird_of_paradise_flower,flower
bird_on_arm,animal_on_arm
bird_on_arm,bird
bird_on_hand,bird
bird_on_head,animal_on_head
bird_on_head,bird
bird_on_shoulder,animal_on_shoulder
bird_on_shoulder,bird
bird_print,animal_print
bird_skull,animal_skull
bird_tail,tail
bird_tattoo,tattoo
bird_wings,wings
birdcage,cage
biretta,hat
birthday_cake,cake
bishop_(chess),chess_piece
bit_gag,gag
bite_mark_on_arm,bite_mark
bite_mark_on_ass,bite_mark
bite_mark_on_back,bite_mark
bite_mark_on_breast,bite_mark
bite_mark_on_ear,bite_mark
bite_mark_on_face,bite_mark
bite_mark_on_hand,bite_mark
bite_mark_on_neck,bite_mark
bite_mark_on_shoulder,bite_mark
bite_mark_on_stomach,bite_mark
bite_mark_on_thigh,bite_mark
biting_another's_arm,biting
biting_another's_finger,biting
biting_another's_hand,biting
biting_another's_lip,biting
biting_another's_tail,biting
biting_another's_tail,tail
biting_another's_tongue,biting
biting_antenna,biting
biting_ass,biting
biting_breast,biting
biting_cheek,biting
biting_clothes,biting
biting_ear,biting
biting_foreskin,biting_penis
biting_glove,biting
biting_glove,gloves
biting_hat,biting
biting_head,biting
biting_neck,biting
biting_nipple,biting
biting_nipple,nipple_stimulation
biting_own_arm,biting
biting_own_finger,biting
biting_own_tail,biting
biting_own_tail,tail
biting_own_thumb,biting_own_finger
biting_penis,biting
biting_sheet,biting
biting_testicles,biting
biting_testicles,testicles
bitten_apple,apple
bitten_apple,food_bite
biwa_lute,lute_(instrument)
black_apron,apron
black_arm_warmers,arm_warmers
black_armband,armband
black_armor,armor
black_ascot,ascot
black_babydoll,babydoll
black_bag,bag
black_bandana,bandana
black_bandeau,bandeau
black_belt,belt
black_bikini,bikini
black_bird,bird
black_blood,colored_blood
black_bloomers,bloomers
black_bodysuit,bodysuit
black_bonnet,bonnet
black_boots,boots
black_border,border
black_bow,bow
black_bowtie,black_bow
black_bowtie,bowtie
black_bra,bra
black_bridal_gauntlets,bridal_gauntlets
black_buruma,buruma
black_bustier,bustier
black_butterfly,butterfly
black_camisole,camisole
black_cape,cape
black_capelet,capelet
black_car,car
black_cardigan,cardigan
black_cat,cat
black_changpao,changpao
black_chastity_cage,chastity_cage
black_chemise,chemise
black_choker,choker
black_cloak,cloak
black_coat,coat
black_collar,collar
black_corset,corset
black_cross_tie,cross_tie
black_crown,crown
black_dog,dog
black_dress,dress
black_eyeliner,eyeliner
black_eyeshadow,eyeshadow
black_facial_hair,facial_hair
black_feathers,feathers
black_fire,fire
black_flower,flower
black_forest_cake,cake
black_fundoshi,fundoshi
black_garter_belt,garter_belt
black_garter_straps,garter_straps
black_gem,gem
black_gloves,gloves
black_hairband,hairband
black_hakama,hakama
black_halo,halo
black_hanbok,hanbok
black_hands,colored_extremities
black_hanfu,hanfu
black_haori,haori
black_happi,happi
black_hat,hat
black_headband,headband
black_headscarf,headscarf
black_helmet,helmet
black_hijab,hijab
black_hiphighs,hiphighs
black_hoodie,hoodie
black_horns,horns
black_jacket,jacket
black_jumpsuit,jumpsuit
black_kimono,kimono
black_leg_warmers,leg_warmers
black_leggings,leggings
black_leotard,leotard
black_male_swimwear,male_swimwear
black_male_underwear,male_underwear
black_mask,mask
black_mittens,mittens
black_moon,moon
black_neckerchief,neckerchief
black_necktie,necktie
black_negligee,negligee
black_nightgown,nightgown
black_nipples,colored_nipples
