tag,cn_name
2026_iran_war,"2026伊朗战争,2026年美以伊冲突"
2026_kitkat_heist,KitKat巧克力被盗
2027,2027年
2028,2028年
2029,2029年
2030,2030年
20th_century_boy_(stand),"20世纪男孩,二十世纪男孩"
210_(reverse:1999),重返未来210
25-ji_kaito,ニーゴカイト
25-ji_luka,ニーゴルカ
25-ji_miku,ニーゴミク
25-ji_nightcord_de._(project_sekai),"25時、ナイトコードで。,ニーゴミク,ニーゴリン,ニーゴMEIKO,ニーゴルカ,ニーゴカイト,ニーゴ,ニーゴの日"
25-ji_rin,ニーゴリン
25mm_triple_autocannon_mount,25mm三連装機銃
28_stab_wounds!_(meme),"28箇所の刺し傷,28箇所の刺し傷だぞ!"
2_fuel_4_ammo_11_steel,"燃2弾4鋼11,恋の2-4-11"
2b14_(girls'_frontline),"2B14(ドールズフロントライン),2B14(少女前線)"
2b_(brief_respite)_(azur_lane),休息のひととき
2b_(nier:automata),"ヨルハ二号B型,ヨルハ2号B型"
2b_(nier:automata)_(cosplay),2Bコス
2boys,"两个男孩,2人の男の子,二人の少年,双男"
2d_mita_(miside),二维米塔
2girls,"两个女孩,2人の女の子,二人の少女,双女"
2k-tan,"2kたん,2000たん"
2koma,"2コマ,二格漫画,2格漫画,即オチ2コマ"
2nd_form_frieza,フリーザ第二形態
2nd_generation_(hololive),ホロライブ2期生
2nd_generation_(nijisanji),にじさんじ2期生
2nd_live_tour_~blooming_with_ooo~,"蓮ノ空2nd兵庫Day2,蓮ノ空2nd兵庫Day1,蓮ノ空2nd千葉Day2,蓮ノ空2nd千葉Day1"
2others,"两个其他角色,2人のその他,二人のアザー"
3-up_moon,3UPムーン
3.1-tan,"大婆様,3.1たん"
30-30_repeater,3030リピーター
30th_street_station,30丁目駅
31st_joint_fighter_squadron_afrika,第31統合戦闘飛行隊
35.6cm_twin_gun_mount_fairy,35.6cm連装砲
35p_(sakura_miko),みこぴー
37_(a_gift_of_nourishment)_(reverse:1999),37(完美的流体)
37_(down_in_the_grotto)_(reverse:1999),37(泉眼深处)
37_(happy_bird_catcher)_(reverse:1999),37(快乐的捕鸟人)
37_(maidjump_goods_cafe)_(reverse:1999),37(萌果酱谷子咖啡)
37_(naisnow)_(reverse:1999),37(奈雪的茶)
37_(reverse:1999),"重返未来37,37(リバース:1999)"
39,"サンキュー,ミクの数字,三十九"
3:,"ひの字口,皱眉猫猫嘴"
3;,"汗颜,冷や汗,冷汗表情"
3_3,"目が3,3の目"
3boys,"三个男孩,3人の男の子,三人の少年,三男"
3d,"3D渲染,3Dモデル"
3d_background,3D背景
3d_glasses,"3Dメガネ,3D眼鏡,赤青メガネ"
3girls,"三个女孩,3人の女の子,三人の少女,三女"
3koma,"3コマ,三格漫画,3格漫画"
3m_(nijiura_maids),3mさん
3others,"三个其他角色,3人のその他,三人のアザー"
3rd_form_frieza,フリーザ第三形態
3rd_live_tour_try_tri_unity!!!,"蓮ノ空3rd,蓮ノ空3rdスリブ,蓮ノ空3rdドルケ,蓮ノ空3rdみらぱ,蓮ノ空ファンミDay1,蓮ノ空ファンミDay2,蓮ノ空3rd神奈川Day1,蓮ノ空3rd神奈川Day2"
404_(girls'_frontline),404小隊
404_logo_(girls'_frontline),"404标志,404ロゴ,404标志（girls' frontline）"
408_day,408の日
40mm_grenade,40mm榴弾
416_day,416の日
41cm_twin_gun_mount,41cm連装砲
43m_zrinyi,ズリーニィ
46cm_triple_gun_mount,46cm三連装砲
4_luxury_(idolmaster),4ラグジュアリー
4boys,"四个男孩,4人の男の子,四人の少年,四男"
4girls,"四个女孩,4人の女の子,四人の少女,四女"
4koma,"4コマ漫画,4コマ,四コマ,四格漫画,4格漫画,4コママンガ"
4koma_ninpoutou,4コマ忍法刀
4others,"四个其他角色,4人のその他,四人のアザー"
4th_live_dream_~bloom_the_dream_believers~,"蓮ノ空4th石川Day1,蓮ノ空4th石川Day2,蓮ノ空4th兵庫Day1,蓮ノ空4th兵庫Day2,蓮ノ空4th102期卒業公演Day1,蓮ノ空4th102期卒業公演Day2"
4th_match_flame_(e.g.o),"4thmatch火焰,4スマトチ炎,4thmatch火焰（E.G.O）,4スマトチ炎（E.G.O）"
5-string_bass_guitar,"五弦贝斯,5弦ベース,五弦贝司"
5-volt,ファイブワット
5000_yen_note,五千円紙幣
500_dollar_four_foot_tall_mareep_(meme),"500 dollar four foot tall mareep梗,500dollar四脚tallmareep,500ドッルアル四足タッルマレエプ,500dollar四脚tallmareep（梗）,500ドッルアル四足タッルマレエプ（ミーム）,梗,ミーム,500 dollar four foot tall mareepミーム"
500_yen_coin,五百円硬貨
501st_joint_fighter_wing,第501統合戦闘航空団
501st_legion,"501軍団,501大隊"
502nd_joint_fighter_wing,"第502統合戦闘航空団,ブレイブウィッチーズ(部隊)"
503rd_joint_fighter_wing,連合軍第503統合戦闘航空団
504th_joint_fighter_wing,第504統合戦闘航空団
505th_joint_fighter_wing,第505統合戦闘航空団
506th_joint_fighter_wing,第506統合戦闘航空団
507th_joint_fighter_wing,第507統合戦闘航空団
53cm_bow_(oxygen)_torpedo_mount,53cm艦首(酸素)魚雷
5boys,"五个男孩,5人の男の子,五人の少年"
5girls,"五个女孩,5人の女の子,五人の少女,五女"
5koma,"5コマ,五格漫画,5格漫画"
5others,"五个其他角色,5人のその他,五人のアザー"
5pb_(neptunia),5pb.ちゃん
5th_grade_loli,小五ロリ
5th_live_tour_~4pair_power_spread!!!!~,"蓮ノ空5th東京Day1,蓮ノ空5th東京Day2,蓮ノ空5th愛知Day1,蓮ノ空5th愛知Day2,蓮ノ空5th大阪Day1,蓮ノ空5th大阪Day2,蓮ノ空5th神奈川Day1,蓮ノ空5th神奈川Day2"
6+boys,"六名以上男孩,6人以上の男の子,6+人的少年,大群男"
6+girls,"六名以上女孩,6人以上の女の子,6+人的少女,大群女"
6+others,"六名以上其他角色,6人以上のその他,多数のアザー"
61cm_quadruple_(oxygen)_torpedo_mount,61cm四連装(酸素)魚雷
61cm_quadruple_torpedo_mount,61cm四連装魚雷
61cm_quintuple_(oxygen)_torpedo_mount,61cm五連装(酸素)魚雷
61cm_triple_torpedo_mount,61cm三連装魚雷
621_(armored_core_vi),"女621,621(アーマードコアVI),621(犬)"
664_(kagejitsu),664番(陰の実力者になりたくて!)
665_(kagejitsu),665番(陰の実力者になりたくて!)
666,"悪魔の数字,六六六"
66_(roro),66(ロロ)
67_(meme),"シックスセブン,シックス・セブン"
69,"シックスナイン,69体位"
69_(meme),"69梗,69体位,シックスナイン,69体位（梗）,シックスナイン（ミーム）,梗,ミーム,69ミーム"
6_(by_the_razed_polis)_(reverse:1999),6(于火中得见)
6_(reverse:1999),"重返未来6,6(リバース:1999)"
6_(time_and_location)_(reverse:1999),6(何时何地)
6_9,"斜視,ガチャ目"
6koma,"6コマ,六コマ,六格漫画,6格漫画"
6p62_(girls'_frontline),"6P62(ドールズフロントライン),6P62(少女前線)"
6th_live_dream_~bloom_garden_party~,"蓮ノ空6th福岡Day1,蓮ノ空6th福岡Day2,蓮ノ空6th兵庫Day1,蓮ノ空6th兵庫Day2,蓮ノ空6th神奈川Day1,蓮ノ空6th神奈川Day2,蓮ノ空6th埼玉Day1,蓮ノ空6th埼玉Day2"
7-string_guitar,"七弦吉他,7弦ギター,七弦琴"
7-tan,せぶんちゃん
707_(susanghan_messenger),チェ・ルシエル
753_(2.5_jigen_no_ririsa),753(2.5次元の誘惑)
765_color_glitter_(idolmaster),765カラーグリッター
765_university_jersey_(idolmaster),学園ジャージ
7753,ななこさん
777_(nikke),777(勝利の女神:NIKKE)
7_colored_flowers_(deltarune),7色の花
7koma,"7コマ,七格漫画,7格漫画"
8-ball,"八号球,8ボール,八号桌球"
8-foot_joe,"エイトフットジョー,エイトフット・ジョー,エイトフットのジョー"
8.8_cm_flak,"アハトアハト,アハト・アハト"
833_(cookie),833姉貴
88_flak_(ash_arms),アハトアハト
8_of_my_10_favorite_characters,8割わかったらあなたと私は友達
8th_ss_cavalry_division_florian_geyer,"第8SS騎兵師団,第8SS騎兵師団「フロリアン・ガイエル」"
8toushin,8頭身
9-volt,ナインボルト
9/11,"911テロ,アメリカ同時多発テロ,アメリカ同時多発テロ事件"
909_(reverseblue),909(リバリバ)
90mm_single_high-angle_gun_mount,"90mm単装高角砲,ワイン妖精"
95-tan,95たん
96neko,"96猫,響希ナツメ,96猫絵,つかって96ちゃん"
98-tan,"はっちゃん,98たん"
98se-tan,"98SEたん,SEたん"
99_generation_(umamusume),99世代(ウマ娘)
9a-91_(a_loyal_friend's_company)_(girls'_frontline),忠愛なる友とともに
9a-91_(bullets_cafe)_(girls'_frontline),弾丸カフェ
9a-91_(girls'_frontline),"9A-91(ドールズフロントライン),9A-91(少女前線)"
9a-91_(purifying_arrow_flowers_and_dreams)_(girls'_frontline),花と夢の破魔矢
9s_(nier:automata),ヨルハ九号S型
9s_(nier:automata)_(cosplay),"9s角色扮演,9ス,9ス（nier:automata）,9sコスプレ"
:/,歪嘴
:3,"猫口,猫猫嘴"
:<,"への字口,傲娇嘴"
:>,"Vの字口,V字嘴"
:>=,"ひょっとこフェラ,バキュームフェラ,口交颜,真空口交"
:c,C字眉
:d,"开口笑,にっこり,大口笑顔,笑顔で口を開ける,开口微笑"
:i,"ふくれっ面,「ぷー」とふくらんで"
:o,"Oの字口,O字嘴"
:p,闭嘴吐舌
:q,"ペコ舌,向上吐舌"
:s,"别扭嘴,困った口,尴尬嘴"
:t,"ふくれっ面,膨れっ面,气鼓鼓,鼓脸"
:|,平嘴
;(,"眨眼皱眉,ウインク困り顔,眨眼困扰,ウィンク不満"
;),"眨眼笑,ウインク,眨眼,ウィンク笑顔"
;/,"眨眼斜嘴,ウインク斜め口"
;3,"眨眼猫嘴,ウインク猫口,眨眼猫口"
;<,"眨眼尖嘴,ウインク尖り口"
;>,"眨眼弯嘴,ウインクへの字逆"
;d,"眨眼开口笑,ウインク笑顔,眨眼笑,ウィンクで口を開ける"
;o,"眨眼张嘴,ウインク開口,眨眼吃惊"
;p,眨眼吐舌
;q,眨眼向上吐舌
;t,"眨眼瘪嘴,ウインクへの字,眨眼嘟嘴"
;|,"眨眼直线嘴,ウインク一本口"
<o>_<o>,黒目がち
<|>_<|>,猫目
=_=,"コメくいてー顔,簾目,眯眼"
>3<,"闭眼猫嘴,閉じ目猫口,挤眼猫嘴"
>:(,烦躁
>:),自信闭嘴笑
>_<,"かざり目,不等号目"
>_o,">O形,オ"
?,きょとんハテナ
??,"双问号,強い疑問,困惑"
?_block,"ハテナブロック,?ブロック"
@_(symbol),"艾特符号,アットマーク,＠記号,at符号"
@_@,"ぐるぐる目,ぐるぐる目の日,渦目,圈圈眼,目にグルグル"
@nyannyan,@娘々
\\//,"胜利手势符号,ピース記号,V字"
\m/,我爱你手势
\n/,"コルナ,摇滚手势"
\o/,抬双手庆贺
\||/,"竖线符号,縦線記号,\ッ|/"
^3^,"闭眼猫嘴笑,閉じ目の猫口,眯眼猫嘴,にっこり猫口"
^^^,"惊讶竖线,びっくりマーク,震惊线,驚愕の縦線"
^_^,闭眼笑
^q^,"闭眼吐舌,閉じ目ぺろり,眯眼吐舌"
a'gen_(the_legend_of_luoxiaohei),阿根
a-37_(mahjong_soul),A-37(雀魂)
a-545_(girls'_frontline),"A-545(ドールズフロントライン),A-545(少女前線)"
a-91_(girls'_frontline),"A-91(ドールズフロントライン),A-91(少女前線)"
a-chan_(1st_costume)_(hololive),友人A(シャツ衣装)
a-chan_(2nd_costume)_(hololive),"友人A(OL衣装),友人A(通常)"
a-chan_(hololive),"友人A,絵ーちゃん,えーちゃん"
a-chan_(little_busters!),あーちゃん先輩
a-chan_(off-work)_(hololive),友人A新衣装
a-line_dress,"A字连衣裙,Aラインドレス,A字裙,Aラインワンピース"
a-pose,"A-ポーズ,Aポーズ"
a-qing,阿箐
a-wing,Aウィング
a-ya_(shuuen_no_shiori),A弥
a.b.a,アバ
a.c._eos_(mega_man),暁シドウ
a.i._(precure),AI(プリキュア)
a.i._chainer,"絵愛ちえな,ちえなちゃん"
a.i.c,"自動化工業複合体,集成工业系统,集成工業系統,集成工業システム"
a.i.m.s._shotriser,"エイムズショットライザー,ショットライザー"
a2_(nier:automata),ヨルハA型二号
a4_(yorha),ヨルハA型四号
a5m,九六式艦上戦闘機
a6m2-n,"二式水戦,二式水上戦闘機"
a6m_zero,"零式艦上戦闘機,ゼロ戦,零戦"
a7m_reppuu,烈風
a_(naraka),阿
a_(naruto),"艾(火影忍者),エー,四代目雷影"
a_(phrase),"字母A,エー,Aの文字,アルファベットA"
a_(show_by_rock!!),阿
a_(xenoblade),"エイ(ゼノブレイド3),エイ"
a_bao_a_qu_the_lightless_shadow,"光なき影ア=バオ・ア・クゥー,无光之影阿-宝·阿·库"
a_baoa_qu,"ア・バオア・クー,宇宙要塞ア・バオア・クー,ゼダンの門"
a_bo,"阿帛,孟祎帛"
a_certain_high_school_gym_uniform,"acertain体操高中制服,アクエルタイン体操着高校制服,acertain体操制服"
a_certain_high_school_uniform,"acertain高中制服,アクエルタイン高校制服,acertain制服"
a_cruel_angel's_thesis,残酷な天使のテーゼ
a_drowning_canvas_(shining_nikki),浮沉的画景
a_flat_chest_is_a_status_symbol,"貧乳はステータス,貧乳はステータスだ!希少価値だ!"
a_gift_to_spring_breeze_(ensemble_stars!),赠春风
a_gloomy_start_(shining_nikki),"郁梦伊始,虚夢の幕開け"
a_great_day_for_cats_(love_live!),♡猫日和♡
a_grim_reminder,その日人類は思い出した
a_knight_(reverse:1999),未锈铠
a_lady_in_spring_sun_(love_live!),春陽の大和撫子
a_pi,"少年Pi,吐槽王Pi"
a_world_underneath,"a world underneath（译名）,アヲルルドウンデルネアス"
a_youkai's_doing,妖怪の仕業
aa-02_sinner_(girls'_frontline),アレス(ドールズフロントライン)
aa-12_(girls'_frontline),"AA-12(少女前線),AA-12(ドールズフロントライン)"
aac_honey_badger,ハニーバジャー
aak_(arknights),"阿,ア(アークナイツ)"
aallotar_(ac8231),アロタ
aalto_(wuthering_waves),"秋水,アールト"
aang,"安昂,アン(アバター伝説の少年アン)"
aardvark,ツチブタ
aardvark_(kemono_friends),ツチブタ(けものフレンズ)
aardwolf,アードウルフ
aardwolf_(kemono_friends),アードウルフ(けものフレンズ)
aaron_(buddy_mission_bond),"アーロン,アーロン(バディミッションBOND),アロルク,ルクアロ"
aaron_(pokemon),"リョウ(トレーナー),リョウ(ポケモン)"
aaron_wei,アーロン・ウェイ
aaroniero_arruruerie,アーロニーロ・アルルエリ
aarune_(pokemon),"ギリー,ギリー(トレーナー)"
aat-52_(girls'_frontline),"AAT-52(ドールズフロントライン),AAT-52(少女前線)"
aatrox_(league),"暗裔剑魔,亚托克斯"
ab_roller,アブローラー
abacus,"そろばん,アバカス"
abaddon_(megami_tensei),アバドン
abaddon_(sasaki_to_p-chan),アバドン(佐々木とピーちゃん)
abalone,"アワビ,あわび"
abandoned,荒废场地
abarai_ichika,阿散井苺花
abarai_renji,阿散井恋次
abare_black,アバレブラック
abare_killer,アバレキラー
abared,アバレッド
abaris_(phantom_of_the_kill),アバリス
abarth,アバルト
abaya,アバヤ
abbacchio_joins_the_kicking_(meme),敌人?艹!敌人?打!
abbadomon,アバドモン
abbadomon_core,アバドモンコア
abbasid_caliphate,アッバース朝
abbey_(pui_pui_molcar),アビー
abbreviated_karakusa,"简化唐草,省略唐草,简略唐草纹,アッブレヴイアテドカラクサ"
abby_(aotu_world),"艾比,アイビー(凹凸世界)"
abby_(azur_promilia),"阿比(蓝色星原),アビー(アズールプロミリア),アビィ(アズールプロミリア)"
abby_(wuthering_waves),阿布
abc_yosou,ABC予想
abdomen_tail,"腹尾,腹から生えた尻尾,腹部的尾巴"
abdonis,フッキンリー
abduction,アブダクション
abductor_virgin,人さらいの乙女人形
abe_(nikke),エイブ(勝利の女神:NIKKE)
abe_(pokemon),マオパパ
abe_nana,"安部菜々,阿部菜々"
abe_no_seimei_(fate),安倍晴明(Fate)
abe_no_seimei_(onmyoji),安倍晴明
abe_seimei,安倍静明
abe_shinzou,安倍晋三
abe_takakazu,"阿部高和,阿部さん,いい男,アベ顔,阿部顔"
abe_takaya,阿部隆也
abel_(project_moon),アベル
abel_(street_fighter),アベル(ストリートファイター)
abel_berek,アベル・ベレーク
abel_nightroad,アベル・ナイトロード
abel_walker,アベル・ウォーカー
abelia_(ogami_kazuki),アベリア
abeno-shakuji-maya,安倍=シャクジ=摩耶
abercrombie_(azur_lane),"アバークロンビー(アズールレーン),アバークロンビー,阿贝克隆比"
abercrombie_(mischief_on_the_rocks)_(azur_lane),"ミスチーフ・レッド,坏坏兔的恶作剧!"
aberdeen_(scotland),アバディーン
abhaya_mudra,施無畏印
abigail_(black_survival),アビゲイル
abigail_(final_fight),アビゲイル(ファイナルファイト)
abigail_ellison,アビゲイルエリスン
abigail_jones,"アビゲイル・ジョーンズ,アビー"
abigail_williams_(celebratory_attire)_(fate),英霊祝装
abigail_williams_(emerald_float)_(fate),エメラルド・フロート
abigail_williams_(event_portrait)_(fate),英霊催装
abigail_williams_(exhibition_attire)_(fate),英霊博装
abigail_williams_(fate),"異端なるセイレム,アビゲイル,アビゲイル・ウィリアムズ(Fate),アビゲイル(Fate),アビラヴィ,阿比盖尔,アビゲイル・ウィリアムズ"
abigail_williams_(fate)_(cosplay),"abigailwilliams角色扮演,アビガイルウイッルイアムス,アビガイルウイッルイアムス（フェイト）,フェイト,abigailwilliamsコスプレ"
abigail_williams_(festival_outfit)_(fate),英霊祭装
abigail_williams_(heart_of_cooking)_(fate),クック・ハート
abigail_williams_(over_the_same_sky)_(fate),英霊星行
abigail_williams_(santa)_(fate),アビゲイル・ウィリアムズ〔サンタ〕
abigail_williams_(swimsuit_foreigner)_(first_ascension)_(fate),"アビゲイル・ウィリアムズ(水着),水着アビ"
abigail_williams_(swimsuit_foreigner)_(second_ascension)_(fate),"アビゲイル・ウィリアムズ(水着),水着アビ"
abigail_williams_(swimsuit_foreigner)_(third_ascension)_(fate),"アビゲイル・ウィリアムズ(水着),水着アビ"
abigail_williams_(tour_outfit)_(fate),英霊巡遊
abigail_williams_(traveling_outfit)_(fate),"英霊旅装,英霊紀行"
abigail_williams_(welcome_to_the_traveling_circus!)_(fate),トラベリング大サーカス!
abigail_williams_(winter_caravan_online_2021)_(fate),ウィンターキャラバンオンライン
abiko_hiromi,安孫子比呂美
abikura_akemi,阿比倉朱美
abikura_akihito,阿比倉章人
ability_card_(touhou),アビリティカード
abirama_redder,アビラマ・レッダー
ableism,"障害者差別,しょうがいしゃさべつ"
abner_cadaver,"アブナー(Shantae),アブナー・カダヴァー"
abomasnow,ユキノオー
abortion,堕胎
abortion_mark,堕胎マーク
above-cleavage_cutout,"乳沟上方镂空,谷間上のカットアウト,胸上开口"
above_clouds,"雲上,雲の上"
abra,ケーシィ
abraham_lincoln_(real_life),エイブラハム・リンカーン
abram_(project_moon),アブラム
abs,"腹筋,腹直筋,腹肌,魅惑の腹筋"
abs_cutout,"腹肌镂空,腹筋カットアウト,腹肌开口"
absalom,アブサロム
absinthe,アブサン
absinthe_(arknights),"苦艾,アブサント(アークナイツ)"
absol,"アブソル,阿勃梭魯,阿勃梭鲁"
absolut_vodka,"アブソルートウォッカ,アブソルート・ウォッカ"
absolute_(nikke),"absolute（译名）,アブソルウテ,アブソルウテ（ニケ）,ニケ"
absolute_cinema_(meme),"absolute cinema梗,アブソルウテクイネマ,absolutecinema（梗）,アブソルウテクイネマ（ミーム）,梗,ミーム,absolute cinemaミーム"
absolute_zero_(mega_man),アブソリュートゼロ
absolutely_everyone,"所有人,全員,绝对全员,絶対にみんな"
absolutely_safe_capsule,ぜったいあんぜんカプセル
absolution_(genshin_impact),"アブソルウティオン,absolution（原神）,アブソルウティオン（原神）,原神"
absorb_(pokemon),すいとる
absorbgil,アブソギル
absorbing,吸収
abstract,"アブストラクト,抽象,抽象画"
abstract_background,抽象背景
abstraction_(the_amazing_digital_circus),脱落者
absurdly_detailed_composition,"ごちゃごちゃ,へびつかいをさがせ,ごちゃ,ゴチャゴチャ,雑然,细节极多,巨量信息"
absurdly_long_hair,"超长发,超ロングヘア,スーパーロングヘアー,スーパーロングヘア,ベリーロングヘアー,ベリーロングヘア,头发拖地,黒髪超ロング"
absurdly_long_tail,"超长尾巴,異常に長い尻尾,极长尾"
abukuma_(azur_lane),"阿武隈(アズールレーン),阿武隈改(アズールレーン),貃"
abukuma_(christmas)_(kancolle),阿武隈(クリスマス)
abukuma_(halloween)_(kancolle),阿武隈(ハロウィン)
